case,gender,deg,yrdeg,field,startyr,year,rank,salary
1,F,Other,92,Other,95,95,Assist,6684.000
2,M,Other,91,Other,94,94,Assist,4743.000
3,M,Other,91,Other,94,95,Assist,4881.000
4,M,PhD,96,Other,95,95,Assist,4231.000
5,M,PhD,66,Other,91,91,Full,11182.000
6,M,PhD,66,Other,91,92,Full,11507.000
7,M,PhD,66,Other,91,93,Full,11840.000
8,M,PhD,66,Other,91,94,Full,11840.000
9,M,PhD,66,Other,91,95,Full,12184.000
10,M,PhD,70,Other,71,76,Assist,1730.000
11,M,PhD,70,Other,71,77,Assist,1851.000
12,M,PhD,70,Other,71,78,Assist,1981.000
13,M,PhD,70,Other,71,79,Assoc,2237.000
14,M,PhD,70,Other,71,80,Assoc,2410.000
15,M,PhD,70,Other,71,81,Assoc,2639.000
16,M,PhD,70,Other,71,82,Assoc,2639.000
17,M,PhD,70,Other,71,83,Assoc,2784.000
18,M,PhD,70,Other,71,84,Assoc,2973.000
19,M,PhD,70,Other,71,85,Assoc,2973.000
20,M,PhD,70,Other,71,86,Assoc,3063.000
21,M,PhD,70,Other,71,87,Assoc,3217.000
22,M,PhD,70,Other,71,88,Assoc,3406.000
23,M,PhD,70,Other,71,89,Assoc,3643.000
24,M,PhD,70,Other,71,90,Assoc,3814.000
25,M,PhD,70,Other,71,91,Assoc,3991.000
26,M,PhD,70,Other,71,92,Assoc,4165.000
27,M,PhD,70,Other,71,93,Assoc,4286.000
28,M,PhD,70,Other,71,94,Assoc,4286.000
29,M,PhD,70,Other,71,95,Assoc,4604.000
30,M,PhD,75,Other,95,95,Assist,4047.674
31,M,PhD,82,Other,87,87,Assist,4105.000
32,M,PhD,82,Other,87,88,Assist,4105.000
33,M,PhD,82,Other,87,89,Assist,4393.000
34,M,PhD,82,Other,87,90,Assoc,4800.000
35,M,PhD,82,Other,87,91,Assoc,5022.000
36,M,PhD,82,Other,87,92,Assoc,5168.000
37,M,PhD,82,Other,87,93,Assoc,5318.000
38,M,PhD,82,Other,87,94,Assoc,5318.000
39,M,PhD,82,Other,87,95,Assoc,5472.000
40,M,PhD,68,Arts,80,80,Assoc,3250.000
41,M,PhD,68,Arts,80,81,Assoc,3671.000
42,M,PhD,68,Arts,80,82,Assoc,3831.000
43,M,PhD,68,Arts,80,83,Assoc,4042.000
44,M,PhD,68,Arts,80,84,Assoc,4317.000
45,M,PhD,68,Arts,80,85,Assoc,4317.000
46,M,PhD,68,Arts,80,86,Assoc,4708.000
47,M,PhD,68,Arts,80,87,Assoc,4944.000
48,M,PhD,68,Arts,80,88,Assoc,5015.000
49,M,PhD,68,Arts,80,89,Assoc,5846.000
50,M,PhD,68,Arts,80,90,Assoc,6120.000
51,M,PhD,68,Arts,80,91,Assoc,6590.000
52,M,PhD,68,Arts,80,92,Assoc,6781.000
53,M,PhD,68,Arts,80,93,Full,7180.000
54,M,PhD,68,Arts,80,94,Full,7180.000
55,M,PhD,68,Arts,80,95,Full,7494.000
56,M,PhD,64,Other,64,76,Full,2339.000
57,M,PhD,64,Other,64,77,Full,2502.000
58,M,PhD,64,Other,64,78,Full,2628.000
59,M,PhD,64,Other,64,79,Full,2895.000
60,M,PhD,64,Other,64,80,Full,3058.000
61,M,PhD,64,Other,64,81,Full,3417.000
62,M,PhD,64,Other,64,82,Full,3619.000
63,M,PhD,64,Other,64,83,Full,4798.000
64,M,PhD,64,Other,64,84,Full,5052.000
65,M,PhD,64,Other,64,85,Full,5052.000
66,M,PhD,64,Other,64,86,Full,5203.000
67,M,PhD,64,Other,64,87,Full,5464.000
68,M,PhD,64,Other,64,88,Full,5786.000
69,M,PhD,64,Other,64,89,Full,7743.284
70,M,PhD,64,Other,64,90,Full,8145.000
71,M,PhD,64,Other,64,91,Full,8523.000
72,M,PhD,64,Other,64,92,Full,8770.000
73,M,PhD,64,Other,64,93,Full,9025.000
74,M,PhD,64,Other,64,94,Full,9025.000
75,M,PhD,64,Other,64,95,Full,9286.000
76,M,PhD,68,Prof,69,76,Assoc,1875.000
77,M,PhD,68,Prof,69,77,Assoc,2136.000
78,M,PhD,68,Prof,69,78,Assoc,2256.000
79,M,PhD,68,Prof,69,79,Assoc,2540.000
80,M,PhD,68,Prof,69,80,Assoc,2824.000
81,M,PhD,68,Prof,69,81,Assoc,3137.000
82,M,PhD,68,Prof,69,82,Full,3322.000
83,M,PhD,68,Prof,69,83,Full,3505.000
84,M,PhD,68,Prof,69,84,Full,3742.000
85,M,PhD,68,Prof,69,85,Full,3742.000
86,M,PhD,68,Prof,69,86,Full,4641.000
87,M,PhD,68,Prof,69,87,Full,4874.000
88,M,PhD,68,Prof,69,88,Full,6675.000
89,M,PhD,68,Prof,69,89,Full,7142.000
90,M,PhD,68,Prof,69,90,Full,7475.000
91,M,PhD,68,Prof,69,91,Full,7935.000
92,M,PhD,68,Prof,69,92,Full,8165.000
93,M,PhD,68,Prof,69,93,Full,8402.000
94,M,PhD,68,Prof,69,94,Full,8402.000
95,M,PhD,68,Prof,69,95,Full,8770.000
96,M,PhD,79,Other,92,92,Assoc,8646.000
97,M,PhD,79,Other,92,93,Assoc,8770.000
98,M,PhD,79,Other,92,94,Full,9025.000
99,M,PhD,79,Other,92,95,Full,9477.000
100,M,PhD,72,Other,91,91,Full,4538.000
101,M,PhD,72,Other,91,92,Full,4737.000
102,M,PhD,72,Other,91,93,Full,4875.000
103,M,PhD,72,Other,91,94,Full,4875.000
104,M,PhD,72,Other,91,95,Full,5088.000
105,M,PhD,73,Other,79,79,Assist,1889.000
106,M,PhD,73,Other,79,80,Assist,2037.000
107,M,PhD,73,Other,79,81,Assist,2323.000
108,M,PhD,73,Other,79,82,Assoc,2425.000
109,M,PhD,73,Other,79,83,Assoc,3619.000
110,M,PhD,73,Other,79,84,Assoc,3742.000
111,M,PhD,73,Other,79,85,Assoc,3742.000
112,M,PhD,73,Other,79,86,Assoc,4081.000
113,M,PhD,73,Other,79,87,Assoc,4286.000
114,M,PhD,73,Other,79,88,Assoc,4538.000
115,M,PhD,73,Other,79,89,Full,5290.000
116,M,PhD,73,Other,79,90,Full,6480.000
117,M,PhD,73,Other,79,91,Full,6977.000
118,M,PhD,73,Other,79,92,Full,7180.000
119,M,PhD,73,Other,79,93,Full,7602.000
120,M,PhD,73,Other,79,94,Full,7602.000
121,M,PhD,73,Other,79,95,Full,7935.000
122,M,PhD,72,Other,72,76,Assist,1773.000
123,M,PhD,72,Other,72,77,Assoc,2019.000
124,M,PhD,72,Other,72,78,Assoc,2176.000
125,M,PhD,72,Other,72,79,Assoc,2411.000
126,M,PhD,72,Other,72,80,Assoc,2552.000
127,M,PhD,72,Other,72,81,Assoc,2758.000
128,M,PhD,72,Other,72,82,Assoc,2838.000
129,M,PhD,72,Other,72,83,Full,2994.000
